_id,country,director,genre,poster,release_year,starring,title
5decc92c3e516e768a3889cc,Hong Kong,Raymond Yip Wai-Man ,"martial arts, comedy",https://en.hkcinema.ru/foto/590040ae.jpg,2003,"Miriam Yeung Chin-Wah, Ekin Cheng Yee-Kin, Wong Yau-Nam, Denise Ho Wan-Si, Lau Kar-Wing, Lee Lik-Chi, Tats Lau Yi-Tat, Charles Ingram ",Anna in Kungfu-land
5decc92c3e516e768a3889b2,Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",8 Roaming Heroines (Part 1)
5decc92c3e516e768a3889c9,Hong Kong,Chow Sze-Luk ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1963,"Chuang Shueh-Chuang, Fang Chiao-Yu, Ting Chor-Kiow, Lam Jing-Yee, Chen Li-Juan, Chen Wen-Chang, Qiu Li-Qing, Zheng Chun-Ying, Chan To ",Twin Charms
5decc92c3e516e768a3889d1,Hong Kong,Michael Mak Dong-Git ,martial arts,https://en.hkcinema.ru/foto/e27a917b.jpg,1993,"Tony Leung Chiu-Wai, Joey Wong Cho-Yin, Donnie Yen Ji-Dan, Michelle Yeoh, Tou Chung-Hua, Elvis Tsui Kam-Kong, Wong Chung-Kui, Wong Yiu ",Butterfly Sword
5decc92c3e516e768a38899d,Taiwan,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/bead8fa0.jpg,1970,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu ",13 Worms
5decc92c3e516e768a3889ab,Hong Kong,Liu Chia-Liang ,martial arts,https://en.hkcinema.ru/foto/e6b40994.jpg,1978,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai ",The 36th Chamber of Shaolin
5decc92c3e516e768a38899f,South Korea,Kim Jung-Yong ,martial arts,https://en.hkcinema.ru/foto/08712cd5.jpg,1977,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho ",The 18 Amazones
5decc92c3e516e768a3889ba,Hong Kong,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/55cc8196d5a89.jpg,1974,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu ",Empress Dowager's Agate Vase
5decc92c3e516e768a3889bc,Hong Kong,"Li Kuo-Hua, Shih Hung ",martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Violet Pan Ying-Zi, Kong Ban, Chen Hung-Lieh, Wong Cheung-Ling, Wai Wang, Han Chiang, Law Bun, Cho Kin ",Hellfighers
5decc92c3e516e768a3889c5,Taiwan,Tang Chen-Dah ,martial arts,https://en.hkcinema.ru/foto/280ce499.jpg,1980,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh ",The Jade Hairpin Alliance
5decc92c3e516e768a3889d4,China,Hong Qi ,"mystery, martial arts",https://en.hkcinema.ru/foto/5bea660d2f028.jpg,2018,"Wang Jun-Hao, Li Zheng-Quan, Liu Zhi-Mei, Li Hong-Ru, Mu Jian-Rong, Sun Yuan-Ning, Li Zhen, Li Xuan-Ting, Su Xiao-Hua, Zhou Jia-Ming ",Huo Shao Yun Zhi Bo Luo Bao
5decc92c3e516e768a3889bb,Hong Kong,Shen Chiang ,martial arts,https://en.hkcinema.ru/foto/92667034.jpg,1973,"Yu Tien-Lung, Cho Kin, Wang Ching-Ping, Miao Tian, Yu Chung-Chiu, Chang Feng, Sun Yueh, Min Min, Si Sin-Dai, Lee Keung, Blacky Ko Sau-Leung ",Infernal Street
5decc92c3e516e768a3889a6,Hong Kong,"Hsu Tseng-Hung, Peter Pan Chi-Chun ",martial arts,https://en.hkcinema.ru/foto/e7e791e7.jpg,1975,"Chang Yu, Hsu Feng, Wen Chiang-Long, Carter Wong Ka-Tat, Mang Fei, Wang Ching-Ping, Liu Ping, Hsiao Yao, Ko Yu-Min, Li Min-Lang ",18 Shaolin Disciples
5decc92c3e516e768a3889a1,Taiwan,,"martial arts, fantasy",https://en.hkcinema.ru/foto/59b2c580.jpg,1978,"Doris Lung Chun-Erh, Kam Kong, Yueh Hua, Lee Ying, Liu Shan, Tung Fang-Yu, Sze-Ma Yu-Chiao, Chow Jun, Chen Chin-Hai, Au-Yeung Chung ",The 18 Bronze Girls of Shaolin
5decc92c3e516e768a3889ac,Taiwan,Sun Jung-Fa ,"martial arts, children's",https://en.hkcinema.ru/foto/0747f153.jpg,1982,"Sonny Yue, Heung Wan-Pang, Wei Pin-Ao, Cho Boon-Feng, Ma Cheung, Cheung Hung-Gei, Ko Yu-Min, Wong Ching-Lam, Lin Kuang-Yung, Wong Yiu ",36 Super-Kids
5decc92c3e516e768a3889c2,Hong Kong,Yeung Kung-Leung ,martial arts,https://en.hkcinema.ru/foto/8b7a5ced.jpg,1951,"Yu So-Chau, Wong Hok-Sing, Lam Mui-Mui, Sek Yin-Tsi, Koo Tin-Ng, Lam Kar-Yee, Lau Kwai-Hong, Ling Mung, Sek Kin ",The Scarlet Hero
5decc92c3e516e768a3889d3,Hong Kong,Tsui Hark ,martial arts,https://en.hkcinema.ru/foto/66e28122.jpg,1979,"Lau Siu-Ming, Michelle Yim, JoJo Chan Kei-Kei, Chang Kuo-Chu, Wong Shu-Tong, Ha Kwong-Li, Tsui Siu-Ling, Eddy Ko Hung, Tino Wong Cheung ",The Butterfly Murders
5decc92c3e516e768a3889a7,Hong Kong,Yang Ching-Chen ,martial arts,https://en.hkcinema.ru/foto/f9994a38.jpg,1978,"Stephen Tung Wai, Dean Shek Tin, Wen Chiang-Long, Sze-Ma Lung, Shen Hai-Rong, Shut Chung-Tin, Kwan Hung, Shih Ting-Ken, Wong Hoi ",18 Fatal Strikes
5decc92c3e516e768a3889b3,Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",8 Roaming Heroines (Part 2)
5decc92c3e516e768a3889b4,Taiwan,Tyrone Hsu Tien-Yung ,martial arts,https://en.hkcinema.ru/foto/25eb7aa9.jpg,1978,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming ",Lung Wei Village
5decc92c3e516e768a3889b7,Taiwan,Chang Fang-Hsia ,martial arts,https://en.hkcinema.ru/foto/a2f25718.jpg,1969,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung ",The Absurd Brave
5decc92c3e516e768a3889b9,Hong Kong,Lee Lik-Chi ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1986,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen ",The Adventurers
5decc92c3e516e768a3889c3,China,Lin Zhen-Zhao ,"martial arts, action, drama, comedy, historical",https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg,2018,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si ",The Unity Of Heroes
5decc92c3e516e768a3889c6,South Korea,Choe U-Hyeong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1983,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su ",Blue Butterfly the Amazon
5decc92c3e516e768a3889d2,Hong Kong,Jingle Ma Choh-Shing ,"martial arts, romance",https://en.hkcinema.ru/foto/6e172a4f.jpg,2008,"Charlene Choi Cheuk-Yin, Wu Chun, Hu Ge, Shao Bing, Bonnie Sin Sik-Lai, Wan Qian, Wei Yi-Bo, Jerry Yuan Cheng-Jie, Fan Siu-Wong, Xiong Xin-Xin ",Butterfly Lovers
5decc92c3e516e768a3889d6,Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/6de5b200.jpg,1959,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Yam Tai-Goon, Gam Lau, Ng Yan-Chi, Chow Chung, Wong Hak, Lai Man ",The Rascal He on Fire
5decc92c3e516e768a3889af,Hong Kong,Lung To ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo ",The 7 Tyrants of Jiangnan
5decc92c3e516e768a3889b5,China,Corey Yuen Kwai ,"action, martial arts",https://en.hkcinema.ru/foto/8929dae5.jpg,2006,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer ",DOA: Dead or Alive
5decc92c3e516e768a3889b8,Hong Kong,Wong Tin-Lam ,martial arts,https://en.hkcinema.ru/foto/c73ab22d.jpg,1961,"Helen Li Mei, Chang Yang, So Fung, Wang Lai, Liu En-Jia, Ou-Yang Sha-Fei, Wu Chia-Hsiang, Chiang Kuang-Chao, Lee Ying, Chen Yu-Hsin ",Venture of the Lady Musketeer
5decc92c3e516e768a3889c0,Hong Kong,Wong Hok-Sing ,martial arts,https://en.hkcinema.ru/foto/03e358c5.jpg,1961,"Sun-Ma Sze-Tsang, Yu Lai-Zhen, Poon Yat-On, Lee Heung-Kam, Lau Hak-Suen, Connie Chan Po-Chu, Yuen Lap-Cheung, Ling Mung, Cheung Sing-Fei ",Crimson Girl
5decc92c3e516e768a3889c8,USA,Lucas Lowe ,"action, martial arts",https://en.hkcinema.ru/foto/4f03385e.jpg,1991,"Reese Madigan, Daniel Dae Kim, Billy Chang, Cliff Lenderman, Henry O., Michael Depasquale Jr., Trent Bushey, Kong Miu-Deng, Kwan Yung ",American Shaolin
5decc92c3e516e768a3889a5,Taiwan,Chan Hung-Man ,martial arts,https://en.hkcinema.ru/foto/994ac528.jpg,1980,"Lee Hoi-Hing, Wong Wing-Sang, Wong Chi-Sang, Got Siu-Bo, Mau Ging-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao, Wu Te-Shan ",18 Secrets of Kung Fu
5decc92c3e516e768a3889a0,Taiwan,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/58adfc83b1d90.jpg,1976,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yee Yuen, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong ",The 18 Bronzemen
5decc92c3e516e768a3889a4,Hong Kong,Cheung Git ,martial arts,https://en.hkcinema.ru/foto/ef2aa597.jpg,1978,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia ",The Eighteen Jade Arhats
5decc92c3e516e768a3889cf,China,Wong Sing-Loy ,martial arts,https://en.hkcinema.ru/foto/3093595e.jpg,1985,"Lau Jan-Ling, Go Hung-Ping, Lee Tak-Shing, Hoh Fook-Sang, Wong Leung, Wong Hoi-Sang, Wong Chi-Wah, Li Li, Lok Woon-Yau, Liu Xiu-Ping ",Arhats in Fury
5decc92c3e516e768a3889d0,Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/d23e8bee.jpg,1978,"Jackie Chan, James Tin Chuen, Dean Shek Tin, Lee Kwan, Li Tong-Chun, Mo Man-Sau, Wang Kuang-Yu, Wong Ching, Wong Yiu ",Spiritual Kung Fu
5decc92c3e516e768a3889da,Hong Kong,Law Chi-Hung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1950,"Fung Fung, Yip Ping, Lai Cheuk-Cheuk, Chan Tin-Chung, Wong San, Wong Cho-San, Ng Wui, To Sam-Ku, Fung Ying-Seung, Fung Ging-Man ",Bandits of the Water Margin
5decc92c3e516e768a3889a8,Hong Kong,Chen Chi-Hwa ,martial arts,https://en.hkcinema.ru/foto/96f7b314.jpg,1977,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau ",The 36 Crazy Fists
5decc92c3e516e768a3889ca,Hong Kong,Yan Jun ,martial arts,https://en.hkcinema.ru/foto/d49477c1.jpg,1962,"Li Li-Hua, Chao Lei ",Angel of the Wilderness
5decc92c3e516e768a3889cd,Hong Kong,"Wu Ma, Hsiung Ting-Wu, Chang Cheh ",martial arts,https://en.hkcinema.ru/foto/43a380bb.jpg,1976,"Alexander Fu Sheng, David Chiang Da-Wei, Ti Lung, Chi Kuan-Chun, Chen Kuan-Tai, Gordon Liu Chia-Hui, Johnny Wang Lung-Wei, Li Yi-Min ",Seven Man Army
5decc92c3e516e768a38899e,Hong Kong,Daniel Lee Yan-Gong ,"martial arts, historical",https://en.hkcinema.ru/foto/bf050942.jpg,2010,"Donnie Yen Ji-Dan, Vicki Zhao Wei, Wu Ma, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai ",14 Blades
5decc92c3e516e768a3889a9,Hong Kong,Gwan Jing-Leung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai ",Thirty-Six Sword Guards
5decc92c3e516e768a3889ad,Taiwan,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/8c741171.jpg,1978,"Li Yi-Min, Jack Lung Sai-Ga, Mark Lung Koon-Mo, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai ",The 7 Grandmasters
5decc92c3e516e768a3889ae,Taiwan,Au-Yeung Wang ,martial arts,https://en.hkcinema.ru/foto/abb01ce1.jpg,1980,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yee Yuen, Yuen Sam, Lee Seung, Goo Chang, Gam Boh, Alan Lau Tak-Hoi, Chang Peng ",Bruce Tuan's 7 Promises
5decc92c3e516e768a3889d7,Hong Kong,Shin Sang-Ok ,"action, martial arts",https://en.hkcinema.ru/foto/420ce132.jpg,1971,"Angela Yu Chien, Shin Young-Kyun, Wang Hsieh ",The Bandits
5decc92c3e516e768a38899c,Hong Kong,Chui Fat ,"martial arts, fantasy",https://en.hkcinema.ru/foto/c6339753.jpg,1993,"Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko ",The 13 Cold-Blooded Eagles
5decc92c3e516e768a3889bd,Hong Kong,Siu Sang ,martial arts,https://en.hkcinema.ru/foto/592e59ca.jpg,1966,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Yung Yuk-Yi, Yam Bing-Yee, Lau Ching, Siu Chung-Kwan ","Infernal Gate, The (Part 1)"
5decc92c3e516e768a3889a3,Taiwan,Lin Fu-Ti ,martial arts,https://en.hkcinema.ru/foto/ed51ae8a.jpg,1977,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung ",18 Swirling Riders
5decc92c3e516e768a3889aa,Hong Kong,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/c6800bec.jpg,1979,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mark Lung Koon-Mo, Mau Ging-Shun, Fan Mei-Sheng ",The 36 Deadly Styles
